id,year,annual_year,day_no,date,day_en,day_te,time,title_en,title_te,image,a_in,i_ts,u_ts,d_ts
1,2026,2025 - 2026,1,2026-09-14,Monday,సోమవారం,06:00,Ganesh Sthapana,గణేష్ స్థాపన,,1,2026-08-06 11:45:07,,
2,2026,2025 - 2026,2,2026-09-15,Tuesday,మంగళవారం,07:00,Ganapathi Homam,గణపతి హోమం,,1,2026-08-06 11:45:07,,
3,2026,2025 - 2026,3,2026-09-16,Wednesday,బుధవారం,18:30,Shatanamavali Pooja,శతనామావళి పూజ,,1,2026-08-06 11:45:07,,
4,2026,2025 - 2026,4,2026-09-17,Thursday,గురువారం,18:30,Sahasranama Archana,సహస్రనామ అర్చన,,1,2026-08-06 11:45:07,,
5,2026,2025 - 2026,5,2026-09-18,Friday,శుక్రవారం,19:00,Cultural Evening,సాంస్కృతిక సంధ్య,,1,2026-08-06 11:45:07,,
6,2026,2025 - 2026,6,2026-09-19,Saturday,శనివారం,12:00,Annadanam,అన్నదానం,,1,2026-08-06 11:45:07,,
7,2026,2025 - 2026,7,2026-09-20,Sunday,ఆదివారం,17:00,Children's Competitions,పిల్లల పోటీలు,,1,2026-08-06 11:45:07,,
8,2026,2025 - 2026,8,2026-09-21,Monday,సోమవారం,06:00,Laksha Patri Pooja,లక్ష పత్రి పూజ,,1,2026-08-06 11:45:07,,
9,2026,2025 - 2026,9,2026-09-22,Tuesday,మంగళవారం,16:00,Nimajjanam,నిమజ్జనం,,1,2026-08-06 11:45:07,,
